id,date,price
11501160,20140617T000000,837700
11501310,20141121T000000,715000
11520640,20140801T000000,810000
11900140,20140509T000000,254000
16000435,20150316T000000,218500
34001160,20140919T000000,590000
42000245,20140613T000000,171000
53500760,20141208T000000,287000
84000335,20140626T000000,225000
88000173,20141015T000000,333000
88000790,20140714T000000,252000
98020220,20141030T000000,750000
98030400,20140711T000000,790000
98030660,20150311T000000,815000
98300230,20150428T000000,1.46E+06
100300280,20141020T000000,355000
103000116,20140722T000000,645000
104501040,20141003T000000,249900
104510230,20141119T000000,252000
104550520,20150330T000000,270000
104550540,20150120T000000,259950
104560280,20140522T000000,273000
114100234,20150430T000000,402500
114100297,20140922T000000,400000
114100314,20150318T000000,285000
114100758,20141022T000000,420000
114700150,20141114T000000,236000
121039083,20150206T000000,629000
121039156,20150109T000000,249000
121059007,20140808T000000,210000
122069107,20141204T000000,427500
123039333,20140609T000000,240000
123059042,20150423T000000,530000
124000160,20140701T000000,563000
126039213,20141203T000000,365500
126039252,20140709T000000,415000
126039467,20150114T000000,700000
126049100,20141104T000000,398000
126049169,20140828T000000,450000
126059005,20150115T000000,547000
126059097,20141023T000000,775000
151000075,20150206T000000,856000
164000174,20140908T000000,300000
164000271,20140905T000000,340000
164000361,20150421T000000,799000
173000140,20140722T000000,487000
179000350,20141105T000000,194000
179001046,20140508T000000,229000
191100665,20150413T000000,630000
192000120,20140520T000000,320000
192300020,20140521T000000,525000
192450180,20150310T000000,335000
194000505,20140904T000000,651000
200520080,20140801T000000,595000
203100435,20140918T000000,484000
203100690,20150425T000000,1.08E+06
204000140,20150403T000000,403000
205000450,20140514T000000,633100
205000520,20141006T000000,737500
207500012,20140505T000000,855000
221049191,20150428T000000,329500
222069057,20150330T000000,665000
224069094,20140911T000000,530000
224069114,20140829T000000,635000
225039029,20150317T000000,525000
225039069,20141010T000000,696950
225069017,20140714T000000,850000
226039214,20140612T000000,465250
226059065,20140903T000000,514000
226059161,20141231T000000,575000
236500050,20140728T000000,298500
238000244,20140617T000000,421000
240000130,20141013T000000,706000
243000380,20150326T000000,365000
248000240,20140715T000000,219000
250000010,20140924T000000,1.75E+06
255370420,20150402T000000,318200
255450030,20140918T000000,369946
255450040,20140918T000000,389517
255450390,20140707T000000,351999
255450410,20140804T000000,339989
255550270,20150403T000000,350000
255580190,20140915T000000,302000
258500059,20140721T000000,760000
259600790,20141015T000000,500000
259800750,20150223T000000,455000
263000006,20141216T000000,375000
263000291,20140904T000000,433500
267000130,20140603T000000,613000
268500020,20141106T000000,282500
269001331,20140909T000000,1.31E+06
272000125,20140829T000000,438000
272000220,20140923T000000,417000
272000355,20141108T000000,325000
274100090,20150108T000000,329500
284000025,20150420T000000,1.41E+06
290000055,20140516T000000,720000
290000095,20140617T000000,675000
290200230,20140819T000000,676000
291310120,20141209T000000,355000
292000070,20150406T000000,895000
293070310,20150213T000000,949990
293620220,20150421T000000,797500
293760150,20141017T000000,1.04E+06
301400800,20141016T000000,261000
301400830,20141223T000000,263000
301401620,20141015T000000,298900
304000530,20140512T000000,185000
312000265,20150504T000000,375000
318500300,20140919T000000,650000
318900120,20150123T000000,495000
321049090,20140626T000000,254000
321079066,20150423T000000,430000
322069020,20140619T000000,520000
322069153,20140827T000000,364250
322069180,20141120T000000,649500
323059103,20150403T000000,425000
323089134,20140930T000000,350000
325059086,20140825T000000,811000
325059131,20141013T000000,390000
326049103,20140922T000000,470000
326049111,20140626T000000,285000
326069101,20141205T000000,515000
326069132,20150220T000000,643000
326069164,20150429T000000,840000
328000182,20150501T000000,613500
333100295,20141124T000000,3.12E+06
369000690,20140812T000000,403504
395300100,20140514T000000,489200
396100110,20140516T000000,282613
408100110,20140612T000000,381000
421000500,20140721T000000,209995
421000555,20140520T000000,200000
421049170,20140717T000000,239000
422069067,20150512T000000,276500
423059184,20141201T000000,180000
423059207,20150223T000000,322500
423059387,20141118T000000,540000
424049284,20141016T000000,310000
424069096,20140731T000000,460000
424069112,20140616T000000,999000
425049146,20140715T000000,975000
425059024,20150129T000000,675000
425059103,20141202T000000,625000
425069147,20150313T000000,610000
425079100,20141231T000000,406500
430000175,20141215T000000,550000
434000040,20140527T000000,535000
446000150,20150415T000000,480000
452002005,20150121T000000,452000
452002135,20150422T000000,1.07E+06
455000395,20140523T000000,606000
458000065,20140923T000000,542000
461002025,20150501T000000,501000
461002551,20141004T000000,330600
472000055,20140514T000000,546000
475000190,20150109T000000,465000
475000510,20141118T000000,594000
476000118,20141212T000000,479950
476000338,20150225T000000,491000
486000085,20140815T000000,866800
507100005,20150310T000000,285000
509000090,20141006T000000,760750
510002065,20150323T000000,700000
510002506,20140825T000000,459500
510003230,20140810T000000,720001
518500460,20141008T000000,2.23E+06
520700125,20140805T000000,437000
521049200,20140708T000000,819000
522079068,20150506T000000,513000
524059052,20141209T000000,975000
524059093,20140825T000000,775000
524059148,20140606T000000,1.60E+06
524059241,20150319T000000,870000
524069011,20140911T000000,622500
526059103,20141013T000000,325000
526059122,20141205T000000,495200
526059224,20140923T000000,260000
526069024,20140512T000000,950000
537000416,20150429T000000,250000
546000245,20140716T000000,549900
573000685,20140717T000000,805000
579000550,20141107T000000,440000
617000089,20141117T000000,274000
619079016,20140602T000000,687000
619079096,20150406T000000,750000
622049114,20150218T000000,2.13E+06
622069006,20140820T000000,1.50E+06
623049185,20140702T000000,185000
624069050,20150407T000000,1.57E+06
624110920,20140725T000000,762500
624110930,20140724T000000,845000
624111000,20140805T000000,950000
625049286,20140815T000000,640000
625049318,20140804T000000,605000
626710220,20140813T000000,475000
627300195,20150303T000000,750000
629000615,20141022T000000,1.50E+06
629000704,20140729T000000,1.00E+06
629600130,20140801T000000,594950
629811600,20140724T000000,672800
631000040,20150331T000000,548000
643000110,20150325T000000,247500
666000142,20150326T000000,798500
686200510,20141122T000000,643000
686400380,20141002T000000,770000
686530170,20141022T000000,458000
686800080,20140612T000000,1.03E+06
714000155,20141222T000000,670000
714000315,20150414T000000,515000
717000225,20141028T000000,235000
721049207,20140619T000000,275000
723000114,20140505T000000,1.40E+06
723000150,20150408T000000,1.01E+06
723049434,20150408T000000,369950
723069128,20140514T000000,543000
723099044,20140807T000000,433200
726059047,20141216T000000,310000
726059344,20150421T000000,475000
739980260,20141210T000000,324000
745000005,20140825T000000,145000
745530040,20140911T000000,845950
745530240,20141226T000000,865950
748000205,20140716T000000,293000
751000080,20141117T000000,426000
751000190,20141002T000000,355000
752000035,20140520T000000,699000
764000155,20141107T000000,415000
782700120,20150323T000000,334200
785000040,20150318T000000,472500
795002455,20150505T000000,261000
797000256,20150407T000000,339950
798000145,20140924T000000,244500
798000535,20140625T000000,308000
806800090,20150506T000000,275000
808000070,20141021T000000,206600
808300200,20150319T000000,468000
808300310,20150313T000000,389000
809000525,20140826T000000,872500
